scan_date,ticker,direction,recommended_contract,recommended_dte,recommended_volume,recommended_oi,recommended_spread_pct,overnight_score,premium_score,active_days_20d,median_vol_20d,mean_vol_20d,max_vol_20d,scan_day_vs_mean_ratio,fillable_entry_day,next_day_pct,day2_pct,day3_pct,peak_return_3d,outcome_tier,is_win,ad_1,ad_5,ad_10,ad_25,ad_50
2026-04-13,SNDK,BULLISH,O:SNDK260522C01180000,38,36,10,0.0,7,0,1,0.0,0.65,13,36.0,False,-0.8440921813484252,-6.381105437992125,-3.4677196112204727,1.3123359580052494,directional,True,1,1,1,0,0
2026-04-13,TECK,BULLISH,O:TECK260515C00060000,31,2704,358,0.0851,3,0,17,8.0,20.5,80,131.90243902439025,True,2.5958177520007646,1.5330989186356732,0.8013947915532473,3.1358898309049734,strong,True,17,12,9,6,3
2026-04-13,SNPS,BULLISH,O:SNPS260529C00475000,45,27,0,0.0033,2,0,0,0.0,0.0,0,27.0,True,0.2465442212147277,4.950095077921169,5.596379322709719,7.623810976658812,home_run,True,0,0,0,0,0
2026-04-13,SPOT,BULLISH,O:SPOT260424C00517500,10,51,0,0.0608,4,0,0,0.0,0.0,0,51.0,True,1.4401875325456213,5.369962886363068,5.425513232896494,7.853600960405917,home_run,True,0,0,0,0,0
2026-04-13,TRTX,BULLISH,O:TRTX260515C00009000,31,33,4,0.0,4,0,1,0.0,0.2,4,33.0,False,0.3676419164620176,1.593136787414549,1.470584962882246,1.8995046615600568,directional,True,1,0,0,0,0
2026-04-13,TGT,BEARISH,O:TGT260508P00117000,24,14,3,0.0427,4,0,1,0.0,0.7,14,14.0,False,1.3997275019484896,4.233120755498843,5.115374670944503,0.8907347887218425,flat,False,1,1,1,0,0
2026-04-13,TEAM,BULLISH,O:TEAM260508C00068000,24,500,57,0.0471,4,1,1,0.0,25.0,500,20.0,False,-2.5938024723121385,7.667210440456775,12.120723257640453,15.938009290088454,home_run,True,1,1,1,1,1
2026-04-13,TPG,BEARISH,O:TPG260515P00037500,31,15,145,0.0,2,1,9,0.0,12.2,102,1.2295081967213115,False,7.508881451332401,11.542367378749676,9.791980667927126,-1.6235448333105376,wrong,False,9,4,4,2,2
2026-04-13,TWLO,BEARISH,O:TWLO260501P00122000,17,18,5,0.0323,4,0,3,0.0,1.1,18,16.363636363636363,False,-0.1931745009658683,7.912111497278457,10.238253955141012,1.2314881805596738,directional,True,3,1,1,0,0
2026-04-13,U,BEARISH,O:U260508P00023000,24,85,7,0.059,4,1,4,0.0,0.95,12,85.0,True,2.4122823748672184,10.789474688078224,13.72807151392886,-1.3157911467970431,wrong,False,4,1,1,0,0
2026-04-13,UBER,BULLISH,O:UBER260522C00074000,38,23,2,0.0923,4,0,1,0.0,0.1,2,23.0,True,0.7879508738033889,6.828862011745744,5.722979481522796,7.893285943817816,home_run,True,1,0,0,0,0
2026-04-13,UNH,BULLISH,O:UNH260529C00320000,45,226,3,0.0952,6,0,2,0.0,11.45,226,19.73799126637555,True,0.3801924732927316,0.3354593587759585,1.086260030825679,2.1150144144369007,directional,True,2,1,1,1,1
2026-04-13,ULTA,BULLISH,O:ULTA260508C00530000,24,51,15,0.0222,1,0,2,0.0,4.95,51,10.303030303030305,True,1.2016908754401927,2.350219198199846,2.4071688133886893,4.195456251720424,strong,True,2,2,2,2,1
2026-04-13,UPST,BEARISH,O:UPST260529P00026000,45,12,0,0.0035,4,1,1,0.0,0.6,12,12.0,True,5.238776502656839,18.88809911030493,17.92587367280076,-1.7462552995742988,wrong,False,1,1,1,0,0
2026-04-13,VG,BEARISH,O:VG260508P00013000,24,18,15,0.0364,4,1,4,0.0,0.85,11,18.0,False,-1.882351146024816,-4.470585841758579,-0.5490172143075981,5.333335726868873,home_run,True,4,1,1,0,0
2026-04-13,VRT,BULLISH,O:VRT260501C00300000,17,4051,217,0.0766,6,0,18,8.5,31.2,210,129.8397435897436,True,3.517138873724837,0.4000545613113067,-1.9435908511759836,4.167219447619065,strong,True,18,13,8,6,4
2026-04-13,WDC,BULLISH,O:WDC260501C00365000,17,83,35,0.056,7,0,11,1.0,5.1,40,16.27450980392157,True,4.586475103010938,4.238062599954299,3.292781140451857,5.2090455496014245,home_run,True,11,4,4,1,0
2026-04-13,WGS,BEARISH,O:WGS260501P00060000,17,108,1,0.0221,2,0,2,0.0,0.1,1,108.0,True,9.642506740491251,10.626433395330698,7.28107275983161,-1.0167242934094731,wrong,False,2,0,0,0,0
2026-04-13,ZS,BEARISH,O:ZS260501P00122000,17,100,0,0.0,5,0,0,0.0,0.0,0,100.0,True,0.0489319076625156,6.84227247336155,9.549830232469974,1.4924148462507427,directional,True,0,0,0,0,0
2026-04-14,ALB,BULLISH,O:ALB260501C00205000,16,11,4,0.0375,4,0,3,0.0,0.2,2,11.0,True,-2.3596308422982792,13.567889559247597,4.15569366901927,13.615299017100584,home_run,True,3,0,0,0,0
2026-04-14,ACN,BEARISH,O:ACN260508P00185000,23,21,4,0.0169,6,0,2,0.0,1.15,20,18.260869565217394,True,1.9068130482744103,1.9068130482744103,3.8241287474309873,-0.48326589595672,wrong,False,2,1,1,0,0
2026-04-14,APP,BEARISH,O:APP260508P00430000,23,176,12,0.0509,6,1,6,0.0,1.65,13,106.66666666666669,True,7.178612923072711,7.515396723925777,10.078201704004812,-0.0369111272483643,wrong,False,6,3,1,0,0
2026-04-14,BXP,BEARISH,O:BXP260515P00057500,30,10,11,0.0,2,0,2,0.0,0.55,10,10.0,False,1.6354721155293117,2.0715939831824666,5.487914295948657,0.7813947408302877,flat,False,2,1,1,0,0
2026-04-14,BSX,BEARISH,O:BSX260424P00067000,9,2500,4,0.0,3,0,4,0.0,250.2,2501,9.992006394884092,True,1.2378574276896932,-0.6267656393837163,0.6424370995512276,0.736448646002674,flat,False,4,2,2,2,2
2026-04-14,ARE,BULLISH,O:ARE260515C00047500,30,18,131,0.069,2,0,14,3.0,10.1,39,1.7821782178217822,True,4.890946486784671,5.640010493367377,7.138138506532791,8.349857468992687,home_run,True,14,9,9,3,0
2026-04-14,ASTS,BULLISH,O:ASTS260529C00106000,44,42,0,0.0521,6,0,0,0.0,0.0,0,42.0,True,-1.8742196430965543,2.675852366948467,-3.432314802645499,3.612957709231583,strong,True,0,0,0,0,0
2026-04-14,AZN,BULLISH,O:AZN260515C00210000,30,13,89,0.0723,5,0,14,5.5,14.55,75,0.8934707903780068,True,-1.5510291056526118,-1.9131024460792987,0.2055010528221044,0.450143385731391,flat,False,14,10,9,3,2
2026-04-14,BBY,BULLISH,O:BBY260522C00067000,37,18,6,0.0,5,0,2,0.0,0.35,4,18.0,True,2.1430863513510072,4.2056045261767805,5.913637378236532,6.445371509174586,home_run,True,2,0,0,0,0
2026-04-14,BCSF,BULLISH,O:BCSF260515C00012500,30,14,35,0.0645,5,0,3,0.0,1.75,30,8.0,False,2.2290560394685897,1.7678691092864278,4.073789099562088,4.996155629608836,strong,True,3,1,1,1,0
2026-04-14,BNL,BULLISH,O:BNL260515C00022500,30,1000,1009,0.0,5,1,1,0.0,50.0,1000,20.0,False,0.2488770017343834,-0.4479840716774507,1.3439552531187786,1.3937324003653488,directional,True,1,1,1,1,1
2026-04-14,BROS,BEARISH,O:BROS260501P00053000,16,10,4,0.0,4,0,4,0.0,0.25,2,10.0,False,-0.7484144680423612,-2.897719297407227,2.552290590498916,3.550185527666084,strong,True,4,0,0,0,0
2026-04-14,C,BULLISH,O:C260522C00134000,37,17,1,0.0749,6,0,1,0.0,0.05,1,17.0,False,1.6283395905280422,-0.1852165936945419,2.006476829588854,3.0791845379061096,strong,True,1,0,0,0,0
2026-04-14,CF,BEARISH,O:CF260508P00114000,23,45,0,0.0,4,0,2,0.0,0.2,2,45.0,True,1.5551425341238705,4.833556728709367,-5.2790851503229765,7.775723701687406,home_run,True,2,0,0,0,0
2026-04-14,CIEN,BEARISH,O:CIEN260515P00480000,30,1033,35,0.0512,5,2,6,0.0,4.45,45,232.13483146067412,True,1.8343735451582872,5.989000926332836,8.613196488747887,2.750487737774647,directional,True,6,4,3,1,0
